"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_NAC_F_FENT"	"P.Value_NAC_M_FENT"	"P.Value_NAC_FENT"	"P.Value_NAC_FENT_INPUT"	"P.Value_NAC_SAL_INPUT"	"P.Value_NAC_PFC_FENT"	"P.Value_NAC_PFC_SAL"	"logFC_NAC_F_FENT"	"logFC_NAC_M_FENT"	"logFC_NAC_FENT"	"logFC_NAC_FENT_INPUT"	"logFC_NAC_SAL_INPUT"	"logFC_NAC_PFC_FENT"	"logFC_NAC_PFC_SAL"
"ENSMUSG00000114090"	"Gm9472"	"processed_pseudogene"	"predicted gene 9472 [Source:MGI Symbol;Acc:MGI:3779882]"	0.999999999999998	0.938510742417382	0.958380723207112	1.46598402774414e-20	2.11176032362804e-18	0.769981043020093	0.898431438878674	8.88178419700125e-16	-0.0230323856302843	-0.0115161928151417	-2.78377395948982	-2.76201532228739	-0.0600129960669369	-0.0300186350954832
"ENSMUSG00000114102"	"Gm48048"	"processed_pseudogene"	"predicted gene, 48048 [Source:MGI Symbol;Acc:MGI:6097366]"	0.105051896511328	0.35525280528142	0.0703930478198534	3.91227919214588e-06	1.06722610488458e-06	0.491653060647609	0.0205701270688961	-0.38108969688222	-0.198156135629821	-0.289622916256021	0.721108304235989	0.854524783948313	-0.101130872950707	0.39856075969227
"ENSMUSG00000114124"	"Gm19084"	"processed_pseudogene"	"predicted gene, 19084 [Source:MGI Symbol;Acc:MGI:5011269]"	0.855847363252885	0.966161330970625	0.916294590484033	1.46172984366633e-38	1.37767066274921e-36	0.356426821285142	0.258028627473664	-0.0455931514840944	0.00977882561760346	-0.0179071629332455	-4.76547087008409	-4.87076279125881	0.146601597897954	0.206464043612072
"ENSMUSG00000114133"	"Btf3l4b"	"protein_coding"	"basic transcription factor 3 like 4B [Source:MGI Symbol;Acc:MGI:5012260]"	0.38572689866412	0.92138246134421	0.56646002182415	3.61955606590817e-07	0.000173916556553959	0.316666132557834	0.0424203687095453	-0.120580493108603	0.0125628356508467	-0.054008828728878	-0.483581515343328	-0.375311439845238	-0.0879589837025498	-0.207050130146477
"ENSMUSG00000114135"	"Gm7252"	"processed_pseudogene"	"predicted gene 7252 [Source:MGI Symbol;Acc:MGI:3643964]"	0.34825181088852	0.812778366250394	0.394762778739118	2.21492119686183e-07	2.49266930263011e-07	0.256657530932033	0.00461015820427718	0.197340725673978	0.0456115360875075	0.121476130880743	-0.747959918933098	-0.824856616809258	-0.150899520050202	-0.444623404198495
"ENSMUSG00000114136"	"4921511I17Rik"	"lncRNA"	"RIKEN cDNA 4921511I17 gene [Source:MGI Symbol;Acc:MGI:1918108]"	0.136748869896393	0.0578651806581783	0.844119710542309	1.45902606929548e-26	1.46806931092674e-23	0.194766816158238	0.652886592260708	0.670522694910856	-0.78972817677084	-0.0596027409299917	-5.0796155509882	-4.90338205293536	-0.367970371870869	0.145382566981239
"ENSMUSG00000114147"	"Gm18939"	"transcribed_processed_pseudogene"	"predicted gene, 18939 [Source:MGI Symbol;Acc:MGI:5011124]"	0.964452024075116	0.535495573660694	0.698913068715537	3.32347783534303e-16	2.62916534669986e-13	0.112685414124836	0.970538726506487	-0.0061647960390725	0.0788582475099608	0.0363467257354442	0.940076716899053	0.875361828684562	0.139984268627433	0.00369608198373728
"ENSMUSG00000114149"	"Gm47646"	"lncRNA"	"predicted gene, 47646 [Source:MGI Symbol;Acc:MGI:6096726]"	0.216404431538127	0.257879136584382	0.0956959351034975	1.74764926755111e-47	2.23874739920681e-44	0.351041244154503	0.528341490821717	-0.36301068508622	-0.304875782204288	-0.333943233645254	-7.93943070018492	-7.77476203389692	-0.172385051415505	-0.133325804154309
"ENSMUSG00000114153"	"Gm48692"	"TEC"	"predicted gene, 48692 [Source:MGI Symbol;Acc:MGI:6098321]"	0.649210627852684	0.382255663408966	0.796688251196166	0.0951619025189621	0.0484269442987866	0.187302527978226	0.511203502271966	0.309910712615673	-0.548119836220367	-0.119104561802347	0.703922000834341	0.927360605172107	-0.570784759463976	0.324150789525647
"ENSMUSG00000114161"	"Gm48662"	"lncRNA"	"predicted gene, 48662 [Source:MGI Symbol;Acc:MGI:6098277]"	0.775469072285213	0.893751616439269	0.904667279651167	4.56177935657523e-47	1.06542439193061e-44	0.997052111209126	0.761689644654844	0.122485743562473	-0.052668964426577	0.0349083895679478	-11.4891908640925	-11.5879374290395	0.00100114137666252	-0.0942244345656791
"ENSMUSG00000114165"	"Gm47513"	"TEC"	"predicted gene, 47513 [Source:MGI Symbol;Acc:MGI:6096505]"	0.882961921524505	0.0858038687061273	0.287652045386025	3.48723626066195e-11	2.47780972495199e-10	0.973773471246419	0.585376616139573	0.0422011297963174	-0.458025933899613	-0.207912402051648	-1.41564999235134	-1.4724854675458	-0.00594828553534571	0.113277244778329
"ENSMUSG00000114172"	"Gm36298"	"transcribed_processed_pseudogene"	"predicted gene, 36298 [Source:MGI Symbol;Acc:MGI:5595457]"	0.861220492767234	0.0238753784865211	0.155361447201886	0.00513650879375496	0.00141973724249483	0.00893249705904275	0.402992435929667	-0.0578602782503285	0.701800202133839	0.321969961941755	0.58637914811869	0.74881831141425	0.56232659388865	0.200819126041463
"ENSMUSG00000114184"	"Gm7143"	"processed_pseudogene"	"predicted gene 7143 [Source:MGI Symbol;Acc:MGI:3646528]"	0.791341382666982	0.46281100038212	0.489359772616232	4.50979654749184e-06	0.000944884999109987	0.0644258739939389	0.889763060389804	-0.0541479711750082	-0.138306099692839	-0.0962270354339237	-0.629715044780346	-0.481359096585559	-0.242320327471216	0.0205190863587662
