"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_PFC_F_FENT"	"P.Value_PFC_M_FENT"	"P.Value_PFC_FENT"	"P.Value_PFC_FENT_INPUT"	"P.Value_PFC_SAL_INPUT"	"P.Value_NAC_PFC_FENT"	"P.Value_NAC_PFC_SAL"	"logFC_PFC_F_FENT"	"logFC_PFC_M_FENT"	"logFC_PFC_FENT"	"logFC_PFC_FENT_INPUT"	"logFC_PFC_SAL_INPUT"	"logFC_NAC_PFC_FENT"	"logFC_NAC_PFC_SAL"
"ENSMUSG00000037236"	"Matr3"	"protein_coding"	"matrin 3 [Source:MGI Symbol;Acc:MGI:1298379]"	0.312426325395429	0.658773051183852	0.617796276364882	4.65614577295822e-15	1.60595111707224e-11	0.0490538180702156	0.013947577620261	0.136929428562982	-0.0493974335795979	0.043765997491692	0.845931244940823	0.705332775666597	0.162989427324159	0.235553512606336
"ENSMUSG00000037239"	"Spred3"	"protein_coding"	"sprouty-related EVH1 domain containing 3 [Source:MGI Symbol;Acc:MGI:2142186]"	0.123795997657112	0.393343625221717	0.0851364942745422	3.94919328042167e-10	3.18350782641409e-12	0.284187985448712	0.115470597497025	-0.223183640011359	-0.101789129770286	-0.162486384890823	0.645394639840772	0.7878627873341	-0.0932512513543915	-0.157984300406281
"ENSMUSG00000037242"	"Clic4"	"protein_coding"	"chloride intracellular channel 4 [Source:MGI Symbol;Acc:MGI:1352754]"	0.353237873516534	0.889541607018387	0.530015515731532	0.922133673545516	0.483715849896718	0.000426698235244628	0.00311580251738404	-0.187180357445395	0.0231065768766072	-0.0820368902843938	0.0118526355397308	0.0891691199309648	-0.450593002063508	-0.426480434440422
"ENSMUSG00000037243"	"Zfp692"	"protein_coding"	"zinc finger protein 692 [Source:MGI Symbol;Acc:MGI:2144276]"	0.231973484219892	0.461141005252537	0.165748283028679	0.00327511586293884	0.431801836600607	0.749273763789033	0.0833460384414586	0.268575473136927	0.136610452406299	0.202592962771613	0.411334547141882	-0.111330709627641	0.0430999468777291	0.270963570427403
"ENSMUSG00000037251"	"Pomk"	"protein_coding"	"protein-O-mannose kinase [Source:MGI Symbol;Acc:MGI:1921903]"	0.0134714570305818	0.0761265017790224	0.00284561706140764	5.78488293574825e-06	6.91886569557081e-07	0.0694034395798434	0.0459931727885297	-0.26147852299848	-0.153454971061519	-0.207466747029999	0.308517584135136	0.360459632009791	0.114581672991289	-0.144748793549033
"ENSMUSG00000037253"	"Mex3c"	"protein_coding"	"mex3 RNA binding family member C [Source:MGI Symbol;Acc:MGI:2652843]"	0.116714125252898	0.911681169910568	0.199601224017024	0.00325688272193894	1.95885359644309e-05	0.180953617774088	0.642610839712805	-0.211127005523945	-0.012233886591229	-0.111680446057587	0.245454789767432	0.38921327660562	0.108362909364575	0.0427959013928025
"ENSMUSG00000037254"	"Itih2"	"protein_coding"	"inter-alpha trypsin inhibitor, heavy chain 2 [Source:MGI Symbol;Acc:MGI:96619]"	0.273387326105538	0.161043506880699	0.0841181219226215	0.00376874018354543	0.0053641750420168	0.966032141649552	0.0543999147949419	0.644244614596871	0.684882365210155	0.664563489903513	-1.06060013620492	-1.06523320899332	-0.0150417304614352	0.791111542464308
"ENSMUSG00000037257"	"Aagab"	"protein_coding"	"alpha- and gamma-adaptin binding protein [Source:MGI Symbol;Acc:MGI:1914189]"	0.55894750863704	0.0104272744174242	0.221917961794787	0.774229273532138	0.0938087410310048	0.0352038686967132	0.579515059859229	0.0593946744778489	-0.221357584902376	-0.0809814552122634	0.0175763570324525	0.10884045712314	0.131455153606707	-0.0389516627955042
"ENSMUSG00000037259"	"Dzank1"	"protein_coding"	"double zinc ribbon and ankyrin repeat domains 1 [Source:MGI Symbol;Acc:MGI:2139080]"	0.665147245705845	0.220943973640446	0.265533878961359	1.03802381961707e-23	4.96771348876541e-21	0.117906359069352	0.832915361280131	-0.0469548496513603	-0.110572709165595	-0.0787637794084777	1.06605039216038	0.981560876251351	0.103368246110113	0.0158232248890897
"ENSMUSG00000037260"	"Hgsnat"	"protein_coding"	"heparan-alpha-glucosaminide N-acetyltransferase [Source:MGI Symbol;Acc:MGI:1196297]"	0.358284359995894	0.402951081690345	0.216073140316392	0.00238260006166221	0.20590751195503	0.0529800207282957	0.111302878372629	-0.119860074749587	-0.0903088034590063	-0.105084439104297	-0.247985064884839	-0.104714761301632	-0.154279586782993	-0.1447655025877
"ENSMUSG00000037263"	"Aldh3b3"	"protein_coding"	"aldehyde dehydrogenase 3 family, member B3 [Source:MGI Symbol;Acc:MGI:1920708]"	0.399158433521811	0.655259965116206	0.714263221583967	1.67136771818079e-13	3.00721698154494e-13	0.0386069167904759	0.18160927559644	0.355985557987868	-0.155761888719595	0.100111834634136	-2.39821066963615	-2.47231723177107	0.535154093963282	0.391956384228626
"ENSMUSG00000037266"	"Rsrp1"	"protein_coding"	"arginine/serine rich protein 1 [Source:MGI Symbol;Acc:MGI:106498]"	0.0261732943973806	0.989604219915439	0.0856013462265652	0.00753347606470291	0.760991645357106	0.289736447487665	0.510792927607584	0.487963565477855	-0.00231839783685039	0.242822583820502	0.357297340101728	0.0413538146385313	0.137956167696778	0.0979306053148794
"ENSMUSG00000037270"	"Bltp1"	"protein_coding"	"bridge-like lipid transfer protein family member 1 [Source:MGI Symbol;Acc:MGI:2444631]"	0.360800018878731	0.320776794168975	0.182803136327574	2.50157687905582e-32	5.93236074724431e-27	0.000291176415150018	0.000111271803572471	0.0841328813428097	0.0757413225015942	0.0799371019222015	1.32400891391264	1.09727807735036	0.21226935887887	0.261590990727342
"ENSMUSG00000037275"	"Gemin5"	"protein_coding"	"gem nuclear organelle associated protein 5 [Source:MGI Symbol;Acc:MGI:2449311]"	0.133812453773445	0.206244906187172	0.723357801285146	8.11661310915151e-12	2.84172353094636e-11	0.177512027948909	0.295853254978548	0.252251973953102	-0.175618149959632	0.0383169119967346	-0.848676250640166	-0.855588067909358	0.136687762635559	0.121081351960661
